33073
原根：
5
11
14
19
20
21
22
23
28
30
原根数量是9984
5在模33073下的离散对数表为
1,5
2,25
3,125
4,625
5,3125
6,15625
7,11979
8,26822
9,1818
10,9090
11,12377
12,28812
13,11768
14,25767
15,29616
16,15788
17,12794
18,30897
19,22193
20,11746
21,25657
22,29066
23,13038
24,32117
25,28293
26,9173
27,12792
28,30887
29,22143
30,11496
31,24407
32,22816
33,14861
34,8159
35,7722
36,5537
37,27685
38,6133
39,30665
40,21033
41,5946
42,29730
43,16358
44,15644
45,12074
46,27297
47,4193
48,20965
49,5606
50,28030
51,7858
52,6217
53,31085
54,23133
55,16446
56,16084
57,14274
58,5224
59,26120
60,31381
61,24613
62,23846
63,20011
64,836
65,4180
66,20900
67,5281
68,26405
69,32806
70,31738
71,26398
72,32771
73,31563
74,25523
75,28396
76,9688
77,15367
78,10689
79,20372
80,2641
81,13205
82,32952
83,32468
84,30048
85,17948
86,23594
87,18751
88,27609
89,5753
90,28765
91,11533
92,24592
93,23741
94,19486
95,31284
96,24128
97,21421
98,7886
99,6357
100,31785
101,26633
102,873
103,4365
104,21825
105,9906
106,16457
107,16139
108,14549
109,6599
110,32995
111,32683
112,31123
113,23323
114,17396
115,20834
116,4951
117,24755
118,24556
119,23561
120,18586
121,26784
122,1628
123,8140
124,7627
125,5062
126,25310
127,27331
128,4363
129,21815
130,9856
131,16207
132,14889
133,8299
134,8422
135,9037
136,12112
137,27487
138,5143
139,25715
140,29356
141,14488
142,6294
143,31470
144,25058
145,26071
146,31136
147,23388
148,17721
149,22459
150,13076
151,32307
152,29243
153,13923
154,3469
155,17345
156,20579
157,3676
158,18380
159,25754
160,29551
161,15463
162,11169
163,22772
164,14641
165,7059
166,2222
167,11110
168,22477
169,13166
170,32757
171,31493
172,25173
173,26646
174,938
175,4690
176,23450
177,18031
178,24009
179,20826
180,4911
181,24555
182,23556
183,18561
184,26659
185,1003
186,5015
187,25075
188,26156
189,31561
190,25513
191,28346
192,9438
193,14117
194,4439
195,22195
196,11756
197,25707
198,29316
199,14288
200,5294
201,26470
202,58
203,290
204,1450
205,7250
206,3177
207,15885
208,13279
209,249
210,1245
211,6225
212,31125
213,23333
214,17446
215,21084
216,6201
217,31005
218,22733
219,14446
220,6084
221,30420
222,19808
223,32894
224,32178
225,28598
226,10698
227,20417
228,2866
229,14330
230,5504
231,27520
232,5308
233,26540
234,408
235,2040
236,10200
237,17927
238,23489
239,18226
240,24984
241,25701
242,29286
243,14138
244,4544
245,22720
246,14381
247,5759
248,28795
249,11683
250,25342
251,27491
252,5163
253,25815
254,29856
255,16988
256,18794
257,27824
258,6828
259,1067
260,5335
261,26675
262,1083
263,5415
264,27075
265,3083
266,15415
267,10929
268,21572
269,8641
270,10132
271,17587
272,21789
273,9726
274,15557
275,11639
276,25122
277,26391
278,32736
279,31388
280,24648
281,24021
282,20886
283,5211
284,26055
285,31056
286,22988
287,15721
288,12459
289,29222
290,13818
291,2944
292,14720
293,7454
294,4197
295,20985
296,5706
297,28530
298,10358
299,18717
300,27439
301,4903
302,24515
303,23356
304,17561
305,21659
306,9076
307,12307
308,28462
309,10018
310,17017
311,18939
312,28549
313,10453
314,19192
315,29814
316,16778
317,17744
318,22574
319,13651
320,2109
321,10545
322,19652
323,32114
324,28278
325,9098
326,12417
327,29012
328,12768
329,30767
330,21543
331,8496
332,9407
333,13962
334,3664
335,18320
336,25454
337,28051
338,7963
339,6742
340,637
341,3185
342,15925
343,13479
344,1249
345,6245
346,31225
347,23833
348,19946
349,511
350,2555
351,12775
352,30802
353,21718
354,9371
355,13782
356,2764
357,13820
358,2954
359,14770
360,7704
361,5447
362,27235
363,3883
364,19415
365,30929
366,22353
367,12546
368,29657
369,15993
370,13819
371,2949
372,14745
373,7579
374,4822
375,24110
376,21331
377,7436
378,4107
379,20535
380,3456
381,17280
382,20254
383,2051
384,10255
385,18202
386,24864
387,25101
388,26286
389,32211
390,28763
391,11523
392,24542
393,23491
394,18236
395,25034
396,25951
397,30536
398,20388
399,2721
400,13605
401,1879
402,9395
403,13902
404,3364
405,16820
406,17954
407,23624
408,18901
409,28359
410,9503
411,14442
412,6064
413,30320
414,19308
415,30394
416,19678
417,32244
418,28928
419,12348
420,28667
421,11043
422,22142
423,11491
424,24382
425,22691
426,14236
427,5034
428,25170
429,26631
430,863
431,4315
432,21575
433,8656
434,10207
435,17962
436,23664
437,19101
438,29359
439,14503
440,6369
441,31845
442,26933
443,2373
444,11865
445,26252
446,32041
447,27913
448,7273
449,3292
450,16460
451,16154
452,14624
453,6974
454,1797
455,8985
456,11852
457,26187
458,31716
459,26288
460,32221
461,28813
462,11773
